"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:28 GMT 2024","267","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserSuccess","Verify user creation successful",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","270","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserVerifyData","Verify user data after update",""
"passed","Mon Oct 28 20:32:29 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","74","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyUserData","Verify user data in list",""
"passed","Mon Oct 28 20:32:29 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","77","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyNumberOfUsers","Verify number of users returned",""
"passed","Mon Oct 28 20:32:29 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","96","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifySupportInfo","Verify support info in list",""
"passed","Mon Oct 28 20:32:29 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","118","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersSuccessResponse","Verify listing of users successful",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:28 GMT 2024","578","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createTheSameUserTwice","Verify user with the same data can be created twice",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:28 GMT 2024","290","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserSuccess","Verify user updated successfully",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","309","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersPageNotExistent","Fetch user list for non-existent page",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:28 GMT 2024","271","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserVerifyData","Verify user creation data",""
"passed","Mon Oct 28 20:32:29 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","82","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyPagination","Verify pagination data in user list",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:28 GMT 2024","310","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserVerifyCreatedAt","Verify user createdAt time",""
"passed","Mon Oct 28 20:32:28 GMT 2024","Mon Oct 28 20:32:29 GMT 2024","274","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserVerifyUpdatedAt","Verify user updatedAt time",""
