"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:33 GMT 2024","290","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyUserData","Verify user data in list",""
"passed","Mon Oct 28 21:02:31 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","413","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserVerifyData","Verify user creation data",""
"passed","Mon Oct 28 21:02:31 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","424","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserSuccess","Verify user updated successfully",""
"passed","Mon Oct 28 21:02:31 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","668","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createTheSameUserTwice","Verify user with the same data can be created twice",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","285","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyPagination","Verify pagination data in user list",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","136","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifySupportInfo","Verify support info in list",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","284","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserVerifyData","Verify user data after update",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","251","Gradle suite","Gradle test","UpdateUserTest","UpdateUserTest","updateUserVerifyUpdatedAt","Verify user updatedAt time",""
"passed","Mon Oct 28 21:02:31 GMT 2024","Mon Oct 28 21:02:31 GMT 2024","367","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserVerifyCreatedAt","Verify user createdAt time",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","365","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersPageNotExistent","Fetch user list for non-existent page",""
"passed","Mon Oct 28 21:02:31 GMT 2024","Mon Oct 28 21:02:31 GMT 2024","409","Gradle suite","Gradle test","CreateUserTest","CreateUserTest","createUserSuccess","Verify user creation successful",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","306","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersSuccessResponse","Verify listing of users successful",""
"passed","Mon Oct 28 21:02:32 GMT 2024","Mon Oct 28 21:02:32 GMT 2024","76","Gradle suite","Gradle test","UserListTest","UserListTest","listUsersVerifyNumberOfUsers","Verify number of users returned",""
